"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000031544",3.69892875737298,-0.0777699262528689,0.899573183578047,-0.0864520282202494,0.931107089166965,NA
"ENSG00000031691",83.9089276832046,-0.107251231695349,0.288939759450156,-0.371188900757185,0.71049683945988,0.896633549769758
"ENSG00000031698",2847.36923217628,0.53441729322528,0.094428483093691,5.65949251451002,1.51821270945031e-08,6.61188934065173e-07
"ENSG00000031823",1526.60637583522,0.393593907692823,0.116961503834152,3.36515772104749,0.000764999161623577,0.00834406370327173
"ENSG00000032219",653.422453307297,-0.0103473570283182,0.12879042906254,-0.080342593029902,0.93596478334301,0.980855458569784
"ENSG00000032389",207.853809875586,-0.0352145256931753,0.207750198952445,-0.16950417314034,0.865400090166782,0.956061554579644
"ENSG00000032444",1248.98976415105,-0.186998616888134,0.106706619540989,-1.75245563670305,0.0796954918121227,0.273558777029221
"ENSG00000032742",221.762308942923,0.641736448303752,0.143543949758167,4.47066176864231,7.79779361204561e-06,0.000166988920649445
"ENSG00000033011",305.45220542371,-0.0479244989735099,0.109391450118117,-0.438100956900768,0.661313100788719,0.870394741809355
"ENSG00000033030",378.829763726867,-0.115841231519668,0.123321818390329,-0.939340929542699,0.347555730701158,0.651716302359045
"ENSG00000033050",1269.08054410722,-0.346528170668786,0.154293546996193,-2.24590190202404,0.0247102920370197,0.122651057762928
"ENSG00000033100",2215.27331972633,-0.062211359017697,0.13907115604964,-0.44733473701399,0.654633389568449,0.865882537695232
"ENSG00000033122",6.25359320927336,0.424629844373592,0.615748207764936,0.689616046005117,0.490435673911247,0.765703473306624
"ENSG00000033170",1517.18309695588,0.273075224450748,0.158902237767618,1.71851087994178,0.0857034716742131,0.286954447965739
"ENSG00000033178",882.288685707692,0.23412947995046,0.116428072895094,2.01093665924901,0.0443321475662009,0.183706659985558
"ENSG00000033327",1291.5115104828,-0.379127064208051,0.127984222713935,-2.96229532178712,0.0030535475098655,0.0250608283098152
"ENSG00000033627",792.815909041669,-0.461422079412693,0.191470822155061,-2.4098819560038,0.0159576826979812,0.0889007802703952
"ENSG00000033800",623.250865248475,0.0413070133085219,0.105557498924436,0.391322395181908,0.695558947109285,0.890105895710206
"ENSG00000033867",2313.62029245264,0.929047957760841,0.154003709731074,6.03263362540533,1.61308857221683e-09,8.82910140871673e-08
"ENSG00000034053",102.819161889442,-0.0529709976313864,0.561440517559353,-0.0943483699068558,0.924832427617897,0.977339493388778
"ENSG00000034063",84.9989264541032,0.520420561245484,0.332798032996183,1.5637729482958,0.117870899322587,0.351170380369561
"ENSG00000034152",1144.87076616832,-0.84622332803062,0.216657482073401,-3.90581169841127,9.39096208946601e-05,0.00142971479138534
"ENSG00000034239",6.52566508195188,0.253927313136227,0.682393308180662,0.372112841805595,0.709808835426202,0.896445021003006
"ENSG00000034510",12063.3791218929,0.125402822418172,0.136209560528541,0.92066094282637,0.357227473630104,0.659935987315686
"ENSG00000034533",105.283631948951,0.668975653208974,0.192827472033846,3.46929639305519,0.00052182342631652,0.00606406351159487
"ENSG00000034677",754.209779721282,-0.208797972424745,0.164951987744153,-1.26581058694848,0.205580903847632,0.488588381871644
"ENSG00000034693",267.253569622066,0.404221696794297,0.169574226425287,2.38374489635307,0.0171374775998141,0.0936590291631468
"ENSG00000034713",1399.25314924293,-0.36986447240234,0.0881466561876455,-4.19601251367922,2.71655244191215e-05,0.000496126820464943
"ENSG00000034971",453.319694376234,-0.0991141700556464,0.896833263102721,-0.110515715834119,0.912000386781322,0.973527634180839
"ENSG00000035115",464.166101259271,0.463033406773643,0.113886850654673,4.06573194457409,4.78819460710822e-05,0.00080247661144292
"ENSG00000035141",351.693722938644,-0.196395805174187,0.133794086407233,-1.46789600682658,0.142132473041808,0.394379653564324
"ENSG00000035403",16755.9661833976,-0.842432129427315,0.198337382045571,-4.24747024861785,2.16197864019501e-05,0.000409713044188421
"ENSG00000035499",12.1570576599263,0.821192026969684,0.564895786999026,1.45370534861344,0.146028014671836,0.40060410990455
"ENSG00000035664",633.031090606281,-1.56946525639659,0.442297623370739,-3.54843701043595,0.000387524675232453,0.00475985392622803
"ENSG00000035681",1037.21482175148,0.336045729367624,0.0904264398582902,3.71623310498843,0.000202215032752869,0.00275039770899679
"ENSG00000035687",746.386152532095,0.16136209840065,0.13379075921798,1.20607805310193,0.227787396214933,0.519432329451972
"ENSG00000035862",41843.6281301975,-0.151577996769042,0.140314001440537,-1.08027705868882,0.280018822462945,0.58097812718291
"ENSG00000035928",1027.04073555476,0.144771855407601,0.0998575515947532,1.44978374790443,0.147118832978852,0.402443016184666
"ENSG00000036054",1240.27130697384,-0.182004183004882,0.104113371077754,-1.74813456831552,0.0804407284050818,0.275272641196016
"ENSG00000036257",1710.39731888344,-0.00775795538077469,0.115759318719051,-0.0670179771842241,0.946567391651106,0.983951478541181
"ENSG00000036448",25.5693680856069,0.380805573268123,0.590126943466916,0.645294334522233,0.518736463463078,0.785994616934093
"ENSG00000036530",22.6887276422516,0.515511894819846,0.402361076444913,1.28121710821207,0.200117418568164,0.481158231214258
"ENSG00000036549",837.892346324467,0.0176325734169599,0.101125989505987,0.174362431488653,0.861580637345334,0.955415655661469
"ENSG00000036672",11.4109788725035,-0.596983391081154,0.545630404685504,-1.09411679766132,0.273903756176186,0.57347906513856
"ENSG00000037042",506.926777198381,0.135247742652584,0.103598560650983,1.30549827915298,0.191723232736795,0.468878213754389
"ENSG00000037241",295.761801907779,-0.316868148270679,0.140535875446219,-2.25471359013905,0.0241513120713259,0.120689607695235
"ENSG00000037280",1.73465968203811,-1.12158760450821,1.54303984161867,-0.726868856044342,0.467306297336649,NA
"ENSG00000037474",767.728724671697,-0.136295821248263,0.165532964264827,-0.823375705579772,0.410294374153454,0.704778911210593
"ENSG00000037637",628.279100165337,-0.36499373154978,0.124258863391537,-2.9373657668161,0.00331013437664602,0.026736381855415
"ENSG00000037749",833.310503469323,-0.239148673245757,0.0962618487669862,-2.48435570591051,0.0129786094505458,0.0764910434012812
"ENSG00000037757",181.339156183735,-0.0929031616366756,0.318941105634301,-0.291286259423703,0.770832395436586,0.921671760039904
"ENSG00000037897",59.2903019103065,0.202404748425674,0.280081105288478,0.72266477318133,0.469885862886742,0.749839000961782
"ENSG00000037965",24.1869955509383,0.221084326686681,0.799538283296212,0.276514997850045,0.782152541919792,0.925740780491545
"ENSG00000038002",598.834381914553,0.24253320283132,0.199919042682698,1.21315708387148,0.225069768639333,0.515758790594334
"ENSG00000038210",398.483764716108,-0.0106806086656711,0.186090504898956,-0.0573946998073353,0.954230784985456,0.986989905084518
"ENSG00000038219",2346.84692192036,0.0874457559001426,0.116478498008846,0.750745909287924,0.45280558801706,0.73741667344372
"ENSG00000038274",1701.24369326239,-0.5286468719043,0.13072943116883,-4.04382446383922,5.25862965104206e-05,0.000868470021019472
"ENSG00000038295",9.22042536902743,1.0165975285509,1.14304960415846,0.889373063821975,0.373802616379134,0.674654512944886
"ENSG00000038358",702.26348749684,-0.107326498280963,0.104564522583194,-1.02641408031649,0.30469644388812,0.607084634442374
"ENSG00000038382",6064.31389449144,0.190806105999459,0.134022528111772,1.42368681361039,0.154537152550685,0.414041643413303
"ENSG00000038427",8574.51489862568,0.358350516970859,0.155768355202311,2.30053476847358,0.0214179418557374,0.110266795282863
"ENSG00000038532",640.644645969435,0.219548642226266,0.145431227680159,1.50963892506712,0.131135583307823,0.375084206313204
"ENSG00000038945",157.652760344118,0.684382774123029,0.55917332541379,1.22391885130891,0.220982841410225,0.510070854609384
"ENSG00000039123",1218.99610808326,0.0140520772969138,0.0796568485641302,0.176407647932503,0.859973696706812,0.955183459305142
"ENSG00000039139",208.073065904258,0.145896489989003,0.31559219174031,0.462294359009543,0.643870244338468,0.859531869380489
"ENSG00000039319",1070.9309778908,0.119366941992097,0.128331049838027,0.930148566093365,0.352294168061605,0.655827521863141
"ENSG00000039523",1099.9031944114,-0.225223168601651,0.145342728563906,-1.54960052578497,0.121237426694435,0.357438317237278
"ENSG00000039537",22.9514696547017,-1.60261465936248,0.732303672574924,-2.1884564005085,0.0286363738134514,0.136383383715138
"ENSG00000039560",5050.79502095961,-0.534826883513987,0.186132824229577,-2.87336145963341,0.00406129159099459,0.0312495103991103
"ENSG00000039600",3.69826313036344,-0.390699658973452,0.746194424706985,-0.523589624951797,0.600563999211962,NA
"ENSG00000039650",317.716415398083,0.294138668487017,0.193575777861465,1.51950141560336,0.12863633198145,0.370408347473722
"ENSG00000040199",302.453340076519,-0.344186538165131,0.180936479724198,-1.90225066105948,0.0571383925759891,0.219969455652188
"ENSG00000040275",216.265763180179,0.214695022512,0.202712363110722,1.0591116359032,0.28954894133149,0.591404528760159
"ENSG00000040341",612.418872898591,0.0760507763944433,0.122977768087336,0.618410771127622,0.536304599445942,0.794867594295548
"ENSG00000040487",238.628696825185,-0.292184928869102,0.135544263288143,-2.15564216279644,0.0311116175971754,0.144382458731409
"ENSG00000040531",498.833464795847,0.00447419872777764,0.150114514495115,0.0298052373071707,0.976222381856771,0.993538377959397
"ENSG00000040608",1.34775659566588,1.53742778900691,1.43997244384377,1.06767861814286,0.285665506650355,NA
"ENSG00000040633",795.111835215836,0.245064117074686,0.169076809115375,1.44942478129841,0.147218992262575,0.402591167218275
"ENSG00000040731",72.2677732139684,1.82451284730624,0.67827730500691,2.68992170877316,0.00714687839007023,0.0482594095389125
"ENSG00000040933",706.265891737497,0.00553687924412647,0.104149390542413,0.0531628578457371,0.95760214889003,0.987457570782312
